E3-3,E3-3-F3,E4,F4,C6,F9,E10,E12,D12,E3-3-E2,F2,E3,C4,D7,F8,B9,B11,C12,D5,A7,E11,E3-1-B1,A2,E2,F2,E3,F3,A5,D5,F5,A7,D7,F8,B9,E11,B11,C12,F3,F5,C4,B1,,
24h(1),2,2,1,2,2,2,2,2,,2,2,1,,2,,,2,2,,2,2,1,2,2,2,1,3,2,1,,,2,,2,,2,1,1,1,2,,
48h(2),3,2,2,2,4,4,2,2,11,7,4,6,4,4,4,4,3,2,2,2,4,2,11,7,4,2,,2,2,2,4,4,4,2,4,3,2,2,6,4,1.85897435897436,0.310012457865491
72h(3),2,4,2,4,8,7,1,2,22,7,7,8,8,7,6,6,6,2,2,4,6,0,22,7,7,3,2,2,4,2,8,7,6,4,6,6,3,4,8,6,5.7,0.580155391613502
96h(4),4,3,4,8,16,7,1,2,36,16,12,16,14,8,12,8,4,2,3,7,6,0,19,16,12,2,,2,4,3,14,8,12,7,8,4,2,4,16,6,8.41025641025641,0.532362990563624
120h(5),5,4,7,9,27,9,1,2,55,25,12,27,26,11,16,8,4,2,3,5,7,0,55,25,12,2,0,2,3,2,26,11,16,5,8,4,2,3,27,7,11.875,0.494887069984141
144h(6),10,3,19,17,35,15,0,2,50,21,11,34,47,7,20,9,0,0,0,2,3,0,50,21,11,1,0,0,3,0,47,7,20,2,9,0,1,3,34,3,12.925,0.426527236732416
192h(8),27,0,37,23,55,17,0,0,30,4,7,26,58,23,13,6,0,0,0,0,0,0,30,4,7,0,0,0,0,0,58,23,13,0,6,0,,,,,12.9722222222222,0.320351289901598
216h,33,0,46,7,25,11,0,0,,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,,,,0,,0,,,,,,
240h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
