,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C4 3500  time point,,,,,,,C4 34000  time point,,,,,,,,,C4 368000  time point,,,,,,,,
,,>300,2,5%,,,,,>300,0,0%,,,,,,,>300,2,5%,,,,,,
,,100-300,17,40%,,,,,100-300,6,12%,,,,,,,100-300,18,44%,,,,,,
,,<100,12,28%,,,,,<100,23,47%,,,,,,,<100,17,41%,,,,,,
,,dead,12,28%,,,,,death,20,41%,,,,,,,death,4,10%,,,,,,
,,,43,,,,,,,49,,,,,,,,,41,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.398009950248756
,,,,,,,,,,,,,,,,,,,,,,,,,,0.411764705882353
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A4-700 cells time point,,,,9.45121111183233,,,A4-5000 cells time point,,,,,,,,,A4-130000 cells time point,,,,,,,,
,,>300,23,38%,52%,325个,数目,,>300,8,13%,3%,,,,,,>300,10,14%,36%,,,,,
,,100~300,9,14%,25%,27个,数目,,100-300,19,31%,37%,32,,,,,100-300,16,22%,49%,33,,,,
,,<100,16,25%,22%,,,,<100,23,37%,19%,243,,,,,<100,35,49%,19%,297,A4 达到平衡点了吗,,,
,,death,14,22%,,,,,dead,12,19%,,,,,,,dead,11,19%,,,不,,,
,,,62,,,,,,,62,,,,,,,,,72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12.6 E6,,,3.25 B8,,,,,12.18 B8,,,,,,,
,,,,,,,,,,,>300,0,,>300,1,,,,>300,1,3%,11%,,,,
,,,,,,,,,,,100~300,4,,100~300,4,,,,100~300,3,8%,67%,,,,
,,,,,,,,,,,<100,25,,<100,25,,,,<100,24,67%,22%,,,,
,,,,,,,,,,,death,8,,death,8,,,,death,8,22%,,,,,
,,,,,,,,,,,,37,,,38,,,,,36,,,,,,
