day,dt,C2,E3,B5,G5,C7,E8,F8,D9,D10,B11,D6,E1,A9,H3,G12,D12,H4,A12,H5,E3,E4,E6,B8,E8,B9,C9,F9,E10,D11,F2,D6,C7,F8,C10,C1,E1,A3,B3,H2,A4,A10,E11,H11
1,2,1,3,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,1,2,,2,2,2,2,2,2,2,1,,2,2,1,1,2,2,1,1,2,1,1
2,4,4,4,3,4,2,2,3,2,4,4,3,2,2,3,1,4,2,1,2,4,1,4,,4,4,4,3,4,4,2,3,3,2,4,1,4,1,4,2,3,2,2,2
3,8,6,5,7,8,4,4,3,4,5,8,4,4,2,4,2,6,4,2,3,7,4,11,4,7,8,7,7,6,7,5,5,4,5,7,2,7,1,6,3,4,1,4,2
4,16,10,5,12,19,18,4,7,16,14,15,14,6,2,6,2,10,5,2,1,14,9,25,9,14,16,14,12,12,14,8,6,7,8,14,1,9,0,7,4,4,3,6,3
5,32,21,10,28,48,30,14,14,29,31,22,18,8,4,10,2,12,4,2,1,21,30,48,27,26,33,34,34,25,31,18,12,15,13,17,5,14,,11,3,5,4,13,2
6,64,33,28,43,102,54,29,36,55,72,44,34,11,3,15,1,20,4,1,0,38,34,56,31,41,60,55,53,38,37,23,19,20,24,26,3,19,,6,5,7,4,8,2
7,128,82,49,92,196,113,60,68,152,178,80,73,19,4,30,0,13,1,0,,72,90,138,120,119,112,173,120,95,89,41,52,71,35,72,0,24,,4,0,7,3,14,2
8,256,146,101,186,256,207,102,123,267,389,120,106,14,5,17,,8,0,,,134,176,250,229,240,260,300,219,172,193,77,99,92,80,129,,30,,2,,13,3,13,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,331,316,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
