x,y
0,4.5549e-07
30,3.229e-07
60,2.1891e-07
90,1.4005e-07
120,8.2849e-08
150,4.3824e-08
180,1.9502e-08
210,6.4088e-09
240,1.0682e-09
270,4.9214e-12
300,0
330,7.3235e-06
360,7.0281e-06
390,6.3953e-06
420,5.7406e-05
450,6.3253e-05
480,4.8727e-05
510,3.5153e-05
540,3.7989e-05
570,5.6914e-05
600,9.1365e-05
630,0.00016594
660,0.00034225
690,0.0006169
720,0.0010218
750,0.001511
780,0.0019834
810,0.0024103
840,0.0025956
870,0.0026925
900,0.0026074
930,0.002421
960,0.0022385
990,0.0020434
1020,0.0017764
1050,0.0015251
1080,0.0012481
1110,0.0010095
1140,0.00080664
1170,0.00060107
1200,0.00047088
1230,0.00035282
1260,0.00028413
1290,0.00020805
1320,0.00016701
1350,0.00013353
1380,0.00011923
1410,9.8558e-05
1440,8.4932e-05
1470,7.615e-05
1500,7.7309e-05
1530,7.7309e-05
1560,7.8065e-05
1590,7.028e-05
1620,7.0281e-05
1650,7.0281e-05
1680,7.0281e-05
1710,7.0281e-05
1740,7.0281e-05
1770,7.057e-05
1800,5.6225e-05
1830,5.6228e-05
1860,4.9167e-05
1890,4.9385e-05
1920,4.9112e-05
1950,3.514e-05
1980,3.5129e-05
2010,2.8124e-05
2040,2.81e-05
2070,1.4231e-05
2100,1.4056e-05
2130,1.4056e-05
2160,1.406e-05
2190,6.9738e-06
2220,7.0281e-06
2250,7.0281e-06
2280,7.0281e-06
2310,7.0281e-06
2340,7.0281e-06
2370,7.0281e-06
2400,7.0281e-06
2430,7.0281e-06
2460,7.0281e-06
2490,7.0281e-06
2520,7.0281e-06
2550,7.0281e-06
2580,7.0281e-06
2610,7.0281e-06
2640,7.0281e-06
2670,7.0281e-06
2700,7.0281e-06
2730,7.0281e-06
2760,7.0284e-06
2790,0
2820,0
2850,0
2880,2.0683e-20
2910,1.1157e-24
2940,3.7385e-29
2970,7.9936e-34
3000,0
