B8-1 3.25,,dt,B1 ,C1,B2,C2,A5,A8,A9,H9,H10,G12,C1,B4,C4,B8,A1,F1,C2,E3,A4,B4,E4,H6,G12,F2,G2,E3,H3,E5,F7,B9,B10,D10,A11,D11,C12,D12
24h,1,2.00 ,1,2,,2,1,2,,2,,1,1,2,2,1,1,,,2,2,2,,,,,,,,,,,,,,,,
48h ,2,4.00 ,0,8,4,3,0,4,3,2,4,2,4,4,4,0,2,2,,2,2,2,2,2,,2,2,,1,1,2,1,2,2,1,2,2,1
72h,3,8.00 ,,8,7,4,,6,5,4,8,4,6,6,9,0,3,3,,4,7,4,4,4,4,4,7,4,3,4,3,1,4,4,4,4,4,2
96h,4,16.00 ,,9,12,6,,10,6,5,14,4,8,8,16,0,4,6,9,15,7,8,11,8,5,7,15,7,6,3,6,1,7,7,4,8,7,2
120h,5,32.00 ,,0,17,8,,9,8,8,28,4,12,13,45,0,2,1,16,6,16,9,4,12,5,15,28,12,8,8,11,,12,7,8,17,9,3
144h,6,64.00 ,,,25,11,,,7,10,50,3,12,15,82,0,1,2,33,12,34,10,5,19,8,26,53,24,12,17,17,,25,1,8,38,12,2
168h,7,128.00 ,,,32,22,,10,5,0,60,0,11,10,120,0,1,2,30,12,39,10,7,22,9,51,97,69,20,23,26,,27,0,6,54,10,0
192h,8,256.00 ,,,49,25,,9,2,,110,,7,17,300,0,1,2,58,36,70,11,5,40,16,79,230,82,34,39,48,,49,,2,140,9,
216h,9,512.00 ,,,72,35,,9,4,,240,,6,18,600,0,2,,98,86,120,15,6,74,24,155,280,147,40,52,78,,59,,2,172,8,
240h,10,1024.00 ,,,105,45,,6,1,,360,,7,30,900,,,,120,162,216,11,1,118,42,268,560,330,,117,110,,90,,2,484,4,
